,Subsector Wise Standards,,"Generated On: Aug 31, 2026 10:08 AM"
49,Assistive Products,Rehabilitation Appliances and Equipment,14
50,"Automotive body, chassis and accessories",Accessories of automotive vehicles,7
51,"Automotive body, chassis and accessories",Automotive body & chassies,27
52,Automotive Braking and Steering,Automotive Braking Systems,25
53,Automotive Braking and Steering,Automotive Steering Systems,6
54,Automotive Braking and Steering,Ride & Handling,2
55,Automotive Braking and Steering,"Vehicle testing, Ride and handling",32
56,Automotive Electrical Equipment and Instruments,Automotive Horns,3
57,Automotive Electrical Equipment and Instruments,Cable Connector and Fuse Links,19
58,Automotive Electrical Equipment and Instruments,"Electrical Instrument (such as  speedometer, starter motor etc ) and Measurement",25
59,Automotive Electrical Equipment and Instruments,Functional Safety,12
60,Automotive Electrical Equipment and Instruments,Lighting,24
61,"Automotive Primemovers, Transmission Systems and Internal Combustion Engine",Automotive Variable Speed,19
62,"Automotive Primemovers, Transmission Systems and Internal Combustion Engine",I C Engine components,91
63,"Automotive Primemovers, Transmission Systems and Internal Combustion Engine",Stationary application,13
64,"Automotive Tyres, Tubes and Rims",Tyre and Tube,22
65,"Automotive Tyres, Tubes and Rims",Wheel (Two and Three wheeled Vehicles),11
66,"Automotive Tyres, Tubes and Rims",Wheels   of Passenger Car and Commercial Vehicles and Valves,14
67,Ayurveda,Ayurveda Terminology,6
68,Ayurveda,Equipment used in Ayurveda,3
69,Ayurveda,Single Herbs used in Ayurveda,112
70,Ayush,Homoeopathy,5
71,Ayush,Naturopathy,2
72,Ayush,Siddha,5
73,Basic Electrotechnical Standards and Power Qualityr,"Electrotechnical Terminology, Quantities and Units, Graphical Symbols, Degree of Protection and Vocabulary",50
74,Basic Electrotechnical Standards and Power Qualityr,"System aspects of electrical energy supply, Power Quality",8
75,Basic Standards,Graphical symbols and Signs,22
76,Basic Standards,"Preferred numbers, Conversion Factor Tables and Test Methods",8
77,Basic Standards,Quantities and Units,13
78,Bearing ,Plain Bearings,36
79,Bearing ,Rolling Bearings,28
80,Beverages,Alcoholic Beverages,23
81,Beverages,Cocoa,8
82,Beverages,Coffee,25
83,Beverages,Tea,21
84,Bicycles ,Cycle Sub Assemblies,27
85,Biodiversity,Conservation and Restoration,1
86,Biotechnology for food and agriculture,Food Safety Assessment of food products processed from Genetically Modified Organisms,4
87,Biotechnology for food and agriculture,Horizontal Methods for Food and Agriculture,23
88,Bitumen,Modified Bitumenn,1
89,Bitumen,Traditional Bitumen,29
90,Blockchain,Governance,1
91,Blockchain,"Security, Privacy and Identity",2
92,Blockchain,Use Cases,1
93,Brain Computer Interface,BCI Data Interoperability,1
94,"Brushware, Polishes, Lac and lac products",Brushware,28
95,"Brushware, Polishes, Lac and lac products",Polishes and Lac products,32
96,Building Services,Water Proofing and Damp-Proofing Sectional  Committee,34
97,Canal and Cross Drainage Works,Construction & Linings,19
98,Canal and Cross Drainage Works,Inspection and maintenance,6
99,Canal and Cross Drainage Works,Planning and design,28
100,Cardiology,Cardiothoracic and Vascular Surgery (CTVS) equipment,30
101,Cardiology,Cardiovascular implants and extracorporeal systems,38
102,Cast Iron,Cast Iron Joints & Fittings,14
103,Cast Iron,Cast Iron Pipes,5
104,Cast Iron,Castings,22
105,Cast Iron,Ductile Iron Pipe & Fittings,1
106,Cast Iron,Pig Iron,3
107,CED 02-Cement And Concrete Sectional Committee,Cement,53
108,CED 02-Cement And Concrete Sectional Committee,Concrete,73
109,CED 03-Sanitary Appliances And Water Fittings Sectional Committee,Domestic Sanitary Appliances & Accessories,28
110,CED 03-Sanitary Appliances And Water Fittings Sectional Committee,Domestic Water Fittings,21
111,CED 03-Sanitary Appliances And Water Fittings Sectional Committee,Valves & Gate Vales,11
112,CED 03-Sanitary Appliances And Water Fittings Sectional Committee,Water meter,3
113,"CED 05-Flooring, Wall Finishing And Roofing Sectional Committee",Flooring Products,35
114,"CED 05-Flooring, Wall Finishing And Roofing Sectional Committee",Roofing Products,3
115,"CED 05-Flooring, Wall Finishing And Roofing Sectional Committee",Wall Finishing Products,37
116,CED 06-Stones Sectional Committee,Natural stones,39
117,CED 07-Structural Engineering And Structural Sections Sectional Committee,Design & Fabrication of Steel Structure,15
118,CED 07-Structural Engineering And Structural Sections Sectional Committee,Overhead towers and Masts for Transmission,7
119,CED 07-Structural Engineering And Structural Sections Sectional Committee,Structural Sections,28
120,CED 09-Timber And Timber Stores Sectional Committee,Timber Engineering,70
121,CED 09-Timber And Timber Stores Sectional Committee,Timber Stores (Products),78
122,"CED 11-Doors, Windows And Shutter Sectional Committee",Doors,23
123,"CED 11-Doors, Windows And Shutter Sectional Committee",Windows,8
124,CED 12-Functional Requirements In Buildings Sectional Committee,Lighting and ventilation,11
125,CED 12-Functional Requirements In Buildings Sectional Committee,Noise insulation,19
126,CED 12-Functional Requirements In Buildings Sectional Committee,Thermal Comfort,2
127,CED 13-Building Construction Practices Sectional Committee,Glass and Glazing,4
128,CED 13-Building Construction Practices Sectional Committee,Masonry,17
129,CED 13-Building Construction Practices Sectional Committee,Miscellaneous construction practices,31
130,CED 13-Building Construction Practices Sectional Committee,Painting,10
131,CED 13-Building Construction Practices Sectional Committee,Sealants and Adhesives,12
132,CED 13-Building Construction Practices Sectional Committee,Timber & Bamboo,24
133,CED 15-Builders Hardware Sectional Committee,Furniture Hardware,1
134,CED 15-Builders Hardware Sectional Committee,Hardware for Doors & Windows,42
135,CED 20-Wood And Other Lignocellulosic Products Sectional Committee,Composite wood panel products,52
136,CED 20-Wood And Other Lignocellulosic Products Sectional Committee,Plywood & Panel products,13
137,CED 22-Fire Fighting Sectional Committee,Fire detection & Fire alarm systems,40
138,CED 22-Fire Fighting Sectional Committee,Fire Fighting Equipment,64
139,CED 22-Fire Fighting Sectional Committee,Fire Fighting Units,27
140,CED 22-Fire Fighting Sectional Committee,Helmets,7
141,CED 24-Public Health Engineering. Sectional Committee,Sewage treatment,39
142,CED 24-Public Health Engineering. Sectional Committee,Water supply & drainage,26
143,CED 30-Clay And Stabilized Soil Products For Construction Sectional Committee,CED 30   Clay And Stabilized Soil Products For Construction Sectional Committee,34
144,CED 35-Furniture Sectional Committee,Domestic Furniture,6
145,CED 35-Furniture Sectional Committee,Furniture for Public places,40
146,CED 37-Structural Safety Sectional Committee,Dead Loads,6
147,CED 38-Special Structures Sectional Committee,Building Structure,5
148,CED 38-Special Structures Sectional Committee,Industrial Structures,12
149,CED 39-Earthquake Engineering Sectional Committee,Assessment And Retrofitting,5
150,CED 39-Earthquake Engineering Sectional Committee,Design And Detailing,4
151,CED 39-Earthquake Engineering Sectional Committee,Earthquake Hazard,8
152,CED 43-Soil And Foundation Engineering Sectional Committee,Design of Foundation,36
153,CED 43-Soil And Foundation Engineering Sectional Committee,Soil & Soil Engineering,73
154,CED 46-National Building Code Sectional Committee,Administration of Building Construction,1
155,CED 46-National Building Code Sectional Committee,Development Control Rules and General Building Requirements,1
156,CED 47-Ports And Harbours Sectional Committee,Ports & Harbours and Onshore Structures,11
157,CED 50-Plastic Piping System Sectional Committee,Polyolefin and GRP Piping System,22
158,CED 50-Plastic Piping System Sectional Committee,PVC and ABS Piping System,34
159,CED 51-Planning and Housing Sectional Committee,Building Planning,24
160,CED 51-Planning and Housing Sectional Committee,Town & Urban Planning,2
161,CED 53-Cement Matrix Products Sectional Committee,Asbestos cement product,43
162,CED 53-Cement Matrix Products Sectional Committee,Fibre Reinforced Cement Products,3
163,CED 53-Cement Matrix Products Sectional Committee,Precast Concrete Products,48
164,CED 59-Smart Cities Sectional Committee Sectional Committee,Smart Community Infrastructures,8
165,Ceramic Materials,Glass Materials,2
166,Ceramic Materials,Mica and Mica Products,21
167,Ceramicware,Ceramic coated metal ware,18
168,Ceramicware,Ceramic Raw Materials,12
169,Ceramicware,Technical Ceramics,10
170,Ceramicware,Whiteware,8
171,Cereal and Cereal Products,Bakery and Confectionery,26
172,Cereal and Cereal Products,Primary and Secondary Processed Foodgrains,112
173,Cereal and Cereal Products,Primary Processed Foodgrains,6
174,Cereal and Cereal Products,Storage and Handling of Foodgrains,29
175,Cereal and Cereal Products,Tertiary Processed Foodgrains (excluding bakery),59
176,Chemical Hazards,Code of Safety for Chemicals,67
177,Chemical Hazards,Industrial Gases -Code of Safety,8
178,Chemical Hazards,Inorganic Chemical –Code of Safety,25
179,Chemical Hazards,Laboratory Design,3
180,Chemical Hazards,Organic Chemical- Code of Safety,31
181,Chemical method of Test,Identification of harmful substances,2
182,Chemical method of Test,Processing parameters,8
183,Chemical method of Test,Test method for Chemical parameters and Harmful Substances,103
184,Chemical method of Test,Test method for Fibre Identification and Colour Fastness,100
185,Chemical Plant equipment,Components of Chemical equipment ,1
186,"Clothtech textiles, narrow fabrics and braids",Clothtech for defence application,7
187,"Clothtech textiles, narrow fabrics and braids",Clothtech for defence application,7
188,"Clothtech textiles, narrow fabrics and braids",Clothtech for general application,21
189,Cloud Computing and Data Centres,Cloud computing,6
190,Cloud Computing and Data Centres,Resource Efficient & Sustainable Data Centres,11
191,Coding of Audio-Visual Information Interchange,MPEG & JPEG,32
192,Coir and Coir Products,Coir products,14
193,Communication Devices,Interconnection & Information Exchange amongst IT Equipments,29
194,Communication Devices,Optical Fibres & Fibre interconnecting devices,41
195,Communication Devices,Transmitting and Receiving Equipment,17
196,Communication Devices,Waveguides And Accessories,15
197,Communication Devices,Wires & Cables,91
198,Compressors,Air Compressors,4
199,"Computer Graphics, Image Processing and Environmental Data Representation",Computer Graphics and Image processing,4
200,"Conductors And Accessories For Overhead Lines Sectional Committeen,ETD 37",Accessories for overhead power lines,10
201,"Conductors And Accessories For Overhead Lines Sectional Committeen,ETD 37","Design, Installation and Maintenance of overhead power lines",6
202,"Conductors And Accessories For Overhead Lines Sectional Committeen,ETD 37",Overhead Transmission line Conductor,8
203,Conformity Assessment,Accreditation and Peer assessment,2
204,Conformity Assessment,Certification,26
205,Conformity Assessment,Inspection bodies,1
206,Conformity Assessment,Laboratory,3
207,Conformity Assessment,Vocabulary and General Principles  relating to Conformity Assessment,6
208,Construction and Related Engineering Services,Construction Execution Services,2
209,Construction Practices & Management,Building Construction Practices Sectional  Committee,23
210,Construction Practices & Management,Methods of Measurement of Works of Civil Engineering (Excluding Water Resources Development) Sectional Committee,24
211,Construction Practices & Management,Prefabricated Construction Sectional  Committee,17
212,Consumer Policy,Guides on Consumer Awareness,7
213,Consumer Products and Allied Equipment,Parachute Fasteners,9
214,Consumer Products and Allied Equipment,Shaving System,10
215,Consumer Products and Allied Equipment,Stationery Items,13
216,Consumer Products and Allied Equipment,Umbrella and its Components,5
217,Consumer Products and Allied Equipment,Zippers,6
218,Conveyor Belts,Pulleys,3
219,Conveyor Belts,V-Belts,12
220,Copper and copper alloys,Copper  primary products,18
221,Copper and copper alloys,Copper alloy Flat products,9
222,Copper and copper alloys,Copper alloy Long products,19
223,Copper and copper alloys,Copper alloy primary products,16
224,Copper and copper alloys,Copper flat products,5
225,Copper and copper alloys,Copper Long products,14
226,Corrosion Protection and Finishes,Anodic coatings,8
227,Corrosion Protection and Finishes,Atmospheric corrosion,6
228,Corrosion Protection and Finishes,Conversion coatings,13
229,Corrosion Protection and Finishes,Corrosion protection of pipelinennnnnnn,8
230,Corrosion Protection and Finishes,Corrosion protection of structures,10
231,Corrosion Protection and Finishes,Electroplated coatings,28
232,Corrosion Protection and Finishes,Hot dip processes,8
233,Corrosion Protection and Finishes,Testing Methods,19
234,Cosmetics,Hair Care Products,6
235,Cosmetics,Skin Care Productsn,11
236,Cutting Tools,"Carbide Tips, Indexable Inserts and Single Point Cutting Tools",77
237,Cutting Tools,Drills and Reamers,76
238,Cutting Tools,"Gear Cutting Tools, Broaches and Milling Cutters",67
239,Cutting Tools,Saw Blades,10
240,Cutting Tools,Thread Cutting Taps and Dies,24
241,Dairy Industry,"Equipment for Collection, Handling , Storage and Transport of Dairy products",10
242,Dairy Industry,"Equipment for Processing, packaging and analysis of Dairy products",17
243,Dairy Industry,Milk and milk products,76
244,Dams and Appurtenant Structure,Construction and Maintenence of Structures,11
245,Dams and Appurtenant Structure,Construction and Treatment of Foundations,5
246,Dams and Appurtenant Structure,Design of Foundations,5
247,Dams and Appurtenant Structure,design of Structures,30
248,Dams and Appurtenant Structure,Geological Investigation and Exploration,15
249,Dams and Appurtenant Structure,Hydraulic Gates,20
250,Dams and Appurtenant Structure,Hydraulic Valves,8
251,Dams and Appurtenant Structure,Instrumentation,22
252,Dams and Appurtenant Structure,Symbols Topographical Survey & Reporting Panel,7
253,Data and Information,Adaptive e-learning framework,9
254,Data and Information,Assessment framework for e-learning,5
255,Data and Information,Automatic Identification & Data Capture Techniques,16
256,Data and Information,Biometric Testing and reporting,17
257,Data and Information,Cards and security devices for personal identification,42
258,Data and Information,Cross Jurisdictinoal and societial aspects of Biometrics,1
259,Data and Information,Cryptography,29
260,Data and Information,Data exchange formats for Biometrics,17
261,Data and Information,Data Management and Interchange,25
262,Data and Information,Identity management and privacy technologies,7
263,Data and Information,Information security management systems,15
264,Data and Information,Managment and Delivery for E-learning,12
265,Data and Information,Mobile Device Security,3
266,Data and Information,Privacy Information Management System,2
267,Data and Information,Security controls and services,33
268,Data and Information,"Security evaluation, testing and specification",13
269,Data and Information,Technical interfaces and Implementation of Biometric Systems,15
270,Data and Information Management,Information Security & Cyber Security & Privacy Protection,3
271,Dentistry ,Dental CAD/CAM,6
272,Dentistry ,Dental Equipment,10
273,Dentistry ,Dental Implants,8
274,Dentistry ,Dental Instruments,113
275,Dentistry ,Oral Care Products,8
276,Dentistry ,Prosthodontic Materials,14
277,Dentistry ,Restorative and Endodontic materials,24
278,Dentistry ,Terminology,8
279,Design,Cyclone Resistance Structures Sectional Committee,6
280,Design,Rocks Mechanics Sectional Committee,49
281,Diamond Core and Waterwell Drilling,Diamond core drilling/non-core drilling and geotechnica,6
282,Diamond Core and Waterwell Drilling,Water well drilling rigs including their accessories,8
283,Documentation & Information,Data identification,4
284,Documentation & Information,Data specification with content,6
285,Documentation & Information,"Date interchange, classification and periodicals",4
286,Documentation & Information,Distribution and communication,1
287,Documentation & Information,Document Management,16
288,Documentation & Information,Exchange,5
289,Documentation & Information,Forms-layout (paper / electronic),1
290,Documentation & Information,Handling & storage,2
291,Documentation & Information,Indexing,5
292,Documentation & Information,Indexing and abstracting services,1
293,Documentation & Information,Information science,5
294,Documentation & Information,"Library, Cataloguing",12
295,Documentation & Information,Microfilm & Micrographics,16
296,Documentation & Information,Migration,1
297,Documentation & Information,"Museum documentation,",2
298,Documentation & Information,Presentation,10
299,Documentation & Information,Preservation,3
300,Documentation & Information,Process specification,7
301,Documentation & Information,Publications,1
302,Documentation & Information,Records management,12
303,Documentation & Information,Retrieval,9
304,Documentation & Information,Storage,5
305,Documentation and Information,distributions and communication,58
306,Documentation and Information,Information sciences,26
307,Documentation and Information,record management,44
308,Drinking water,Drinking water quality,6
309,Drinking water,Water Purification Systems,5
310,"Drinking Water Supply, Waste Water and Storm Water System Services ",Assessment of utility,2
311,"Drinking Water Supply, Waste Water and Storm Water System Services ",Assessment of utility,3
312,"Drinking Water Supply, Waste Water and Storm Water System Services ",Management of Assets,3
313,"Drinking Water Supply, Waste Water and Storm Water System Services ",Utility Services,5
314,"Ear, Nose, Throat and Head & Neck ",Ear related devices,16
315,"Ear, Nose, Throat and Head & Neck ",Head & Neck related devices,11
316,"Ear, Nose, Throat and Head & Neck ",Nose related devices,9
317,"Ear, Nose, Throat and Head & Neck ",Throat related devices,19
318,Earth Moving Machinaries,Earth-moving machinery and equipment,3
319,Education,Higher Education,4
320,Educational Instruments and Equipment,Drawing Equipment,40
321,Educational Instruments and Equipment,Education Equipments,30
322,Educational Instruments and Equipment,Optical Instruments,10
323,Educational Instruments and Equipment,Surveying Equipment,28
324,Effluent Treatment ,Treatment and disposal of effluent,1
325,Electorplating and Photographic Materials,photographic materials,1
326,Electric and Hybrid Vehicles,Electric Motor,1
327,Electric and Hybrid Vehicles,RESS â€“ Rechargeable Energy Storage System,3
328,Electric and Hybrid Vehicles,Testing & Performance Measurements,5
329,Electric Welding Equipment,Safety and EMC and EMF requirements for electric welding equipment,23
330,Electrical Apparatus For Explosive Atmosphere,Classification of hazardous areas and installation requirements,4
331,Electrical Apparatus For Explosive Atmosphere,Equipment for explosive atmospheres,18
332,Electrical Apparatus For Explosive Atmosphere,Intrinsically-safe apparatus,1
333,Electrical Apparatus For Explosive Atmosphere,Non-electrical equipment and protective systems for explosive atmospheres,6
334,Electrical Appliances,Cleaning appliances,1
335,Electrical Appliances,Components of appliances,8
336,Electrical Appliances,Cooking appliances,27
337,Electrical Appliances,Garment care appliances,4
338,Electrical Appliances,Laundry and dishwashing appliances,5
339,Electrical Appliances,"Other appliances and equipment (Fan, insect killers, clocks, fence energizers)",31
340,Electrical Appliances,Personal Care and Grooming appliances,6
341,Electrical Appliances,"Room, water and personal heating appliancesn",13
342,Electrical Appliances,Small household appliances,5
343,Electrical Energy Storage Systems,Battery management systems,1
344,Electrical Energy Storage Systems,Electrical Energy storage systems,5
345,Electrical Installation,Electrical Installations And Protection Against Electric Shock,35
346,Electrical Installation,Electrical Installations of Ships and of Mobile and Fixed Offshore Units ,23
347,Electrical Installation,Lightning Protection,7
348,Electrical Insulators r and Accessories,Composite Insulators & coatings,21
349,Electrical Insulators r and Accessories,Guide for selection & installation,10
350,Electrical Insulators r and Accessories,Porcelain insulators and accessories,28
351,Electrical Wiring Accessories,Boxes and Enclosures for Electrical Accessories,1
352,Electrical Wiring Accessories,Cable Management Systems,9
353,Electrical Wiring Accessories,Conduits for electrical installations and related accessories,19
354,Electrical Wiring Accessories,Lamp holders,4
355,Electrical Wiring Accessories,"Switches, Sockets, Plugs and Wiring Accessories",17
356,Electronic & IT Equipment and Devices,Alarms,11
357,Electronic & IT Equipment and Devices,Audio-Video & Multimedia Equipment,71
358,Electronic & IT Equipment and Devices,Basic Environmental Testing,51
359,Electronic & IT Equipment and Devices,Building Automation Systems,1
360,Electronic & IT Equipment and Devices,Dependability,28
361,Electronic & IT Equipment and Devices,e-Textiles,3
362,Electronic & IT Equipment and Devices,Electroacoustics,20
363,Electronic & IT Equipment and Devices,"Electronic Measuring Instruments, Systems And Accessories",63
364,Electronic & IT Equipment and Devices,EMI EMC,57
365,Electronic & IT Equipment and Devices,Nuclear instrumentation,14
366,Electronic & IT Equipment and Devices,Office Equipment,23
367,Electronic & IT Equipment and Devices,OLED & Flexible Displays,10
368,Electronic & IT Equipment and Devices,Set Top Box,7
369,Electronic & IT Equipment and Devices,Storage Devices,15
370,Electronic & IT Equipment and Devices,Testing of Electronic Displays,36
371,Electronic & IT Equipment and Devices,Vacuum Electron Devices,18
372,Electronic & IT Equipment and Devices,Video Surveillance system and Equipment,8
373,Electronic & IT Equipment and Devices,Wearable communications and interfaces,2
374,Electronic & IT Equipment and Devices,Wearable Devices and Systems,4
375,Electronic & IT Equipment and Devices,Wearable Devices and Systems,7
376,Electronic Component,"Connectors, Switches and electromechanical structures",60
377,Electronic Component,Magnetic Components,93
378,Electronic Component,PCBs & Electronics Assembly,15
379,Electronic Component,Piezoelectric Devices,18
380,Electronic Component,"Resistor, Capacitor, Inductor and other electronic components",41
381,Electrotechnology in Mobility,Battery Swapping and station ,2
382,Electrotechnology in Mobility,EVSE and Charging Station,4
383,Electrotechnology in Mobility,Grid Communication Interface,5
384,Electrotechnology in Mobility,Plug and Sockets,7
385,Energy Management and Energy Savings,Energy Management and Energy Savings,3
386,Engineering Metrology,Co-ordinate measuring machines (CMMs),10
387,Engineering Metrology,Gauges,34
388,Engineering Metrology,Geometrical Product Specificaton (GPS) — Concepts,43
389,Engineering Metrology,Measuring Equipment,42
390,Engineering Metrology,Surface Parameters,17
391, Env. Impact & Mitigation,Environmental Impact Assessment,1
392,Environment Pollution,Air Pollution ,8
393,Environment Pollution,Water Pollution,22
394,Environmental Aspects of Electrical and Electronics equipments,E-waste,1
395,Environmental Aspects of Electrical and Electronics equipments,Green house gas,2
396,Environmental Aspects of Electrical and Electronics equipments,Guidance on material circularity considerations in environmentally conscious design,7
397,Environmental Aspects of Electrical and Electronics equipments,Quantification of substances,11
398,Environmental Aspects of Electrical and Electronics equipments,Test methods of certain substances,1
399,Environmental Management,Climate change and adaptation,1
400,Environmental Management,Environmental labelling,2
401,Environmental Management,Greenhouse gas management,1
402,Environmental Management,Life cycle asessment,5
403,Environmental Management,Management systems,4
404,Environmental Services,Pollution Control Services,1
405,Equipment for Electrical Energy Measurement and Load Control,"Data exchange for meter reading, tariff and load control",8
406,Equipment for Electrical Energy Measurement and Load Control,Electricity metering equipment,14
407,Equipment for Electrical Energy Measurement and Load Control,Smart Metering Functions and Processes,3
408,Ergonomics,Anthropometry and Biomechanics,16
409,Ergonomics,Ergonomics of the Physical Environment,13
410,Ergonomics,Ergonomics Principle,4
411,Ergonomics,Human System Interaction,21
412,Explosives And Pyrotechnics,Explosives,13
413,Explosives And Pyrotechnics,Packaging,6
414,Explosives And Pyrotechnics,Pyrotechnics  ,17
415,Explosives And Pyrotechnics,Raw Materials  ,29
416,Ferroalloys,Bulk Ferroalloys,19
417,Ferroalloys,Noble Ferroalloys,10
418,Financial Services,Banking and Financial Services,10
419,Fisheries and Aquaculture,Fish and fish products,29
420,Fisheries and Aquaculture,Fish Feeds,6
421,Fisheries and Aquaculture,Good Aquaculture Practices,16
422,Flood Management,Construction and Maintenance of River Training and Diversion Works,7
423,Flood Management,Design of River Training and Diversion Works,18
424,Fluid Power System ,Hydraulic Cylinder,15
425,Fluid Power System ,Hydraulic Fittings,36
426,Fluids For Electrotechnical Applications,Esters - Natural And synthetic ,11
427,Fluids For Electrotechnical Applications,Mineral Insulating Oils,38
428,Food Additives,Taste & flavour enhancers,33
429,Food Safety Management,Food Safety Management System,9
430,Food Safety Management,Hygiene codes (sector specific) and HACCP,10
431,Footwear Sectional Committee,Footwear components,20
432,Footwear Sectional Committee,Safety Shoes,2
433,Footwear Sectional Committee,"Safety, Professional and Occupational footwear",23
434,Footwear Sectional Committee,Shoes for general purpose,41
435,Foundry,Casting,17
436,Foundry,Machinery,4
437,Foundry,Moulding ,32
438,Freight Containers,Design of Freight Containers,15
439,Freight Containers,Handling of Cargo and Containers,19
440,Freight Containers,Refurbishing of Freight Containers,2
441,Fruits and Vegetables,Dried Fruits and Coconut,7
442,Fruits and Vegetables,Fresh/Fresh cut Fruits and Vegetables (including underutilized fruits and vegetables),1
443,Fruits and Vegetables,Processed Fruits and vegetables,73
444,Fruits and Vegetables,"Ripening, Irradiation, Packaging, Storage and Transportation",22
445,Fuses,High Voltage Fuses,6
446,Fuses,Low Voltage Fuses,8
447,Fuses,Miniature Fuses,1
448,Gas Burning Appliances ,Gas Burning Appliances ,2
449,Gas Cylinders and its fittings,"Dissolved Acetylene Cylinders, Generators, Acetylene Pipe Lines And High Pressure Gas Cylinders",41
450,Gas Cylinders and its fittings,Gas Cylinder Valves and Fittings,20
451,Gas Cylinders and its fittings,Low Pressure Gas Cylinders,15
452,Gasket and Packaging,"Gaskets and packings made from asbestos, cork, rubber, paper, rope, metal, elastomers and combinations thereof",2
453,Gasket and Packaging,Radial shaft seals and Fluid power systems O-rings,1
454,General Engineering and Fasteners Standards,"Nuts, Bolts and Washers",50
455,General Engineering and Fasteners Standards,Pins,19
456,General Engineering and Fasteners Standards,Rivets,25
457,General Engineering and Fasteners Standards,Screws,46
458,Geosynthetics,Pavement and Railways applications,46
459,Geosynthetics,Waste management/Geohazard mitigation,13
460,Geosynthetics,Water resources/Flood Control/Coastal applications,6
461,"Glass, Glassware and Laboratoryware",Containers & Glassware,46
462,"Glass, Glassware and Laboratoryware",Glass & Plastic Laboratoryware,62
463,"Glass, Glassware and Laboratoryware",Raw and Processed Glass,24
464,Groundwater,Exploration and measurement,9
465,Groundwater,Harvesting and recharge,2
466,Hand Tools,Hand Tools,194
467,Handloom and Khadi,Handloom,36
468,Handloom and Khadi,Khadi,24
469,Health Informatics ,Telehealth and Virtual Care,1
470,"Health, Fitness and Sports Services",Healthcare & Wellness,3
471,Heat Treatment,Code of practice,13
472,Heat Treatment,Heat treatment methods,13
473,Heat Treatment,Metallography,30
474,Heat Treatment,Test methods,16
475,"Heating, Ventilation and Air Conditioning ",Air Conditioning,1
476,"High Performance fibres, fibrous structure and textile components of composites",Composites,20
477,"High Performance fibres, fibrous structure and textile components of composites",Speciality Fibres,16
478,High Voltage Engineering,High Voltage and High Current Systems,16
479,High Voltage Engineering,High-Voltage And High-Current Test Techniques,1
480,High Voltage Engineering,Insulation Co-Ordination and System Engineering of High Voltage Electrical Power Installations,1
